d       s       a       m_i 
159 	10	161	1 1 5 5 5 5 69 69 325 837 
160 	10	171	1 1 5 5 5 5 5 5 5 517 
161 	10	176	1 1 5 5 5 37 101 101 357 869 
162 	10	179	1 1 5 5 5 37 101 101 101 101 
163 	10	181	1 1 5 5 5 37 101 229 485 485 
164 	10	194	1 1 5 13 29 29 29 157 413 925 
165 	10	199	1 1 5 13 29 29 29 29 285 285 
166 	10	203	1 1 5 13 29 29 93 221 477 477 
167 	10	205	1 1 5 13 29 29 93 93 93 93 
168 	10	208	1 1 5 13 29 61 61 189 189 189 
169 	10	213	1 1 5 13 29 61 61 61 61 573 
170 	10	220	1 1 5 13 29 61 125 125 125 125 
171 	10	224	1 1 5 13 13 13 13 141 141 653 
172 	10	227	1 1 5 13 13 13 13 141 397 397 
173 	10	242	1 1 5 13 13 45 45 173 429 429 
174 	10	251	1 1 5 13 13 45 109 237 493 1005 
175 	10	253	1 1 5 13 13 45 109 109 109 621 
176 	10	265	1 3 7 15 31 63 63 191 191 191 
177 	10	266	1 3 7 15 31 63 63 191 447 959 
178 	10	273	1 3 7 15 31 31 95 95 351 863 
179 	10	274	1 3 7 15 31 31 95 95 95 95 
180 	10	280	1 3 7 15 31 31 31 31 31 31 
181 	10	283	1 3 7 15 31 31 31 31 287 799 
182 	10	289	1 3 7 15 15 47 47 175 431 943 
183 	10	295	1 3 7 15 15 47 47 47 47 47 
184 	10	296	1 3 7 15 15 47 111 239 239 239 
185 	10	301	1 3 7 15 15 47 111 111 111 111 
186 	10	316	1 3 7 15 15 15 79 207 207 207 
187 	10	319	1 3 7 15 15 15 79 207 463 975 
188 	10	322	1 3 7 7 23 23 23 151 151 663 
189 	10	324	1 3 7 7 23 23 23 23 279 279 
190 	10	339	1 3 7 7 23 55 55 55 55 567 
191 	10	342	1 3 7 7 23 55 55 183 183 695 
192 	10	346	1 3 7 7 23 55 119 119 375 375 
193 	10	351	1 3 7 7 23 55 119 247 503 503 
194 	10	352	1 3 7 7 7 7 71 199 455 455 
195 	10	358	1 3 7 7 7 7 71 71 71 583 
196 	10	361	1 3 7 7 7 7 7 135 135 647 
197 	10	367	1 3 7 7 7 7 7 7 263 263 
198 	10	379	1 3 7 7 7 39 39 39 295 295 
199 	10	382	1 3 7 7 7 39 39 167 423 423 
200 	10	391	1 3 3 11 27 27 91 91 347 859 
201 	10	392	1 3 3 11 27 27 27 155 411 923 
202 	10	395	1 3 3 11 27 27 27 155 155 155 
203 	10	398	1 3 3 11 27 27 27 27 27 27 
204 	10	400	1 3 3 11 27 59 123 123 123 635 
205 	10	405	1 3 3 11 27 59 123 251 251 763 
206 	10	410	1 3 3 11 27 59 59 59 59 571 
207 	10	412	1 3 3 11 27 59 59 187 443 443 
208 	10	419	1 3 3 11 11 11 11 139 139 651 
209 	10	422	1 3 3 11 11 11 11 11 11 523 
210 	10	426	1 3 3 11 11 11 75 203 459 459 
211 	10	428	1 3 3 11 11 11 75 75 75 587 
212 	10	433	1 3 3 11 11 43 43 43 299 811 
213 	10	445	1 3 3 11 11 43 107 235 235 235 
214 	10	446	1 3 3 11 11 43 107 235 491 1003 
215 	10	448	1 3 3 3 19 51 51 51 307 819 
216 	10	451	1 3 3 3 19 51 51 51 51 51 
217 	10	454	1 3 3 3 19 51 51 179 179 179 
218 	10	457	1 3 3 3 19 51 115 115 115 115 
219 	10	468	1 3 3 3 19 19 19 19 275 275 
220 	10	472	1 3 3 3 19 19 83 211 211 723 
221 	10	482	1 3 3 3 3 35 99 99 355 355 
222 	10	493	1 3 3 3 3 35 35 163 419 419 
223 	10	501	1 3 3 3 3 3 67 67 67 67 
224 	10	505	1 3 3 3 3 3 3 131 387 899 
225 	10	508	1 3 3 3 3 3 3 3 259 771 
226 	10	511	1 3 3 3 3 3 3 3 3 3 
227 	11	2	1 1 1 1 1 1 1 1 1 513 513 
228 	11	11	1 1 1 1 1 1 1 129 129 641 1665 
229 	11	21	1 1 1 1 1 1 65 65 321 321 1345 
230 	11	22	1 1 1 1 1 1 65 65 321 833 833 
231 	11	35	1 1 1 1 1 33 33 33 33 545 545 
232 	11	49	1 1 1 1 1 33 97 97 97 97 97 
233 	11	50	1 1 1 1 1 33 97 97 97 609 1633 
234 	11	56	1 1 1 1 1 33 97 225 225 225 1249 
235 	11	61	1 1 1 1 1 33 97 225 481 481 481 
236 	11	70	1 1 1 1 17 17 17 17 17 529 529 
237 	11	74	1 1 1 1 17 17 17 145 401 913 913 
238 	11	79	1 1 1 1 17 17 17 145 145 657 1681 
239 	11	84	1 1 1 1 17 17 81 81 81 81 81 
240 	11	88	1 1 1 1 17 17 81 209 465 465 465 
241 	11	97	1 1 1 1 17 49 49 49 305 305 305 
242 	11	103	1 1 1 1 17 49 49 49 49 561 561 
243 	11	104	1 1 1 1 17 49 49 177 433 433 1457 
244 	11	112	1 1 1 1 17 49 113 113 369 369 1393 
245 	11	115	1 1 1 1 17 49 113 113 369 881 881 
246 	11	117	1 1 1 1 17 49 113 113 113 113 113 
247 	11	122	1 1 1 1 17 49 113 241 497 1009 2033 
248 	11	134	1 1 1 9 9 9 73 73 329 329 329 
249 	11	137	1 1 1 9 9 9 73 201 201 713 1737 
250 	11	146	1 1 1 9 9 9 9 9 9 9 9 
251 	11	148	1 1 1 9 9 9 9 9 265 777 777 
252 	11	155	1 1 1 9 9 9 9 137 137 137 1161 
253 	11	157	1 1 1 9 9 9 9 137 393 905 1929 
254 	11	158	1 1 1 9 9 9 9 137 393 393 393 
255 	11	162	1 1 1 9 9 41 105 105 105 105 1129 
256 	11	164	1 1 1 9 9 41 105 105 361 873 1897 
257 	11	168	1 1 1 9 9 41 105 233 233 745 1769 
258 	11	173	1 1 1 9 9 41 105 233 489 1001 1001 
259 	11	185	1 1 1 9 9 41 41 169 169 681 681 
260 	11	186	1 1 1 9 9 41 41 169 169 169 1193 
261 	11	191	1 1 1 9 9 41 41 169 425 425 425 
262 	11	193	1 1 1 9 25 25 89 89 345 857 857 
263 	11	199	1 1 1 9 25 25 89 89 89 89 89 
264 	11	213	1 1 1 9 25 25 25 25 25 537 537 
265 	11	214	1 1 1 9 25 25 25 25 25 25 1049 
266 	11	220	1 1 1 9 25 25 25 153 153 665 1689 
267 	11	227	1 1 1 9 25 57 121 121 377 377 1401 
268 	11	236	1 1 1 9 25 57 121 249 249 761 761 
269 	11	242	1 1 1 9 25 57 57 57 313 313 313 
270 	11	247	1 1 1 9 25 57 57 57 57 57 1081 
271 	11	251	1 1 1 9 25 57 57 185 441 441 1465 
272 	11	256	1 1 5 5 21 21 85 85 341 341 1365 
273 	11	259	1 1 5 5 21 21 85 85 341 853 853 
274 	11	265	1 1 5 5 21 21 85 213 469 469 469 
275 	11	266	1 1 5 5 21 21 85 213 469 981 2005 
276 	11	276	1 1 5 5 21 21 21 21 21 21 21 
277 	11	292	1 1 5 5 21 53 117 117 117 629 629 
278 	11	304	1 1 5 5 21 53 53 53 309 821 1845 
279 	11	310	1 1 5 5 21 53 53 53 53 53 1077 
280 	11	316	1 1 5 5 21 53 53 181 181 693 1717 
281 	11	319	1 1 5 5 21 53 53 181 181 181 181 
282 	11	322	1 1 5 5 5 5 69 69 325 837 837 
